value,group
7799,0
3890.44,0
1211.98,0
568.5,0
620.36,0
490,0
2361.72,0
73.32,0
210.11,0
188.72,0
164.76,0
766.11,0
1385.02,0
1240.12,0
720.39,0
3406,0
79.71,0
114.84,0
1279.07,0
709.18,0
352.86,0
145.11,0
2110.27,0
117.17,0
691.98,0
5153.75,0
150,0
214.51,0
1311.5,0
1811.5,0
2755.29,0
179,0
192.44,0
463.47,0
1156.94,0
771.91,0
884.24,0
2756.52,1
339.48,0
1521.18,0
263.58,0
1567.5,0
1795.18,0
978.36,0
944.44,0
1160.38,0
2280.88,0
801.95,0
665.3,0
1104.83,0
1294.86,0
220.61,0
49.13,0
1116.88,0
874.48,0
67.39,0
2837.18,0
4126.27,0
2342.57,0
1665.14,0
882.23,0
265.44,0
1952.26,0
152.91,0
165.11,0
384.43,0
1486.89,0
450.79,0
873.85,0
129.71,0
481.23,1
911.06,0
2374.31,0
951,0
931.59,0
866.58,0
330.29,0
3600.71,0
5481.91,0
574.58,0
793.52,0
88.11,0
2015.41,0
942.36,0
356.22,0
401.62,0
2277.54,0
309.04,0
923.95,0
345.99,0
1831.01,0
720.62,0
607.33,0
37.37,0
74.61,0
158.71,0
4799.4,0
796.86,0
103.11,0
4517.61,0
1429.94,0
4194.88,0
821.95,0
2539.03,0
187.3,0
87.44,0
655.83,0
4750.19,0
70.11,0
2831.56,0
2436.93,0
2407.98,0
138.22,0
97.72,0
9497,0
4031.98,0
1705.34,0
510.44,0
674.06,1
700.72,0
156.71,0
174.92,0
200.6,0
1283.76,0
528.06,0
822.14,0
155.71,0
152.14,1
59.61,0
775.08,0
344.13,0
719.86,0
324.76,0
681.36,0
1162.12,0
1066.53,0
815.56,0
1424.3,0
3987.65,0
1058.68,1
834.7,0
340,0
3043,0
480.61,0
908.94,0
522.97,0
1808.53,0
120.04,0
1009.51,0
199.44,0
281.71,0
815.47,0
873.19,0
83.9,0
364.96,0
207.71,0
920.53,0
227.71,0
84.84,0
271.77,0
3825.64,0
969.69,0
5146.04,0
78.71,0
867.99,0
1370.94,0
119.11,0
199,0
111.11,0
3506.7,0
652.44,0
74.11,0
1580.46,0
509.05,0
788.96,0
1499,0
593.06,0
75.96,0
339.71,0
3506.93,0
1414.08,0
2585.72,0
613.9,0
400.28,0
60.44,0
5093.48,0
219.71,0
89.71,0
1379.3,0
198.02,0
84.44,0
810.8,0
1166.67,0
119.11,0
173.13,0
377.81,0
2892.87,0
2403.2,0
152,0
68.49,0
3987.65,0
812.54,0
1321.1,0
156.14,0
2592.63,0
52.33,0
181.44,0
1600.48,0
3962.7,0
2945.95,0
461.36,0
993.42,0
921.92,0
1084,0
3839.82,0
1008.44,0
1139.31,0
210.81,0
82.95,0
1156.03,0
179.42,0
199.71,0
472.44,0
112.84,0
1860.83,0
1492.05,0
1088.37,0
843,0
268.14,0
1217.7,0
2127.96,0
963.01,0
1071.14,0
978.8,0
977.7,0
262.22,0
9896.58,0
1055.69,0
1600.02,0
38.75,0
1055.18,0
5070.42,0
583.34,0
1358.09,0
1817.13,0
3109.36,0
151.61,0
466.4,0
140.64,0
597.91,0
86.29,0
684.36,0
38.37,0
218.08,0
433.35,0
798.12,0
5275.16,0
710.46,0
92.03,0
1655.22,0
29.72,0
960.19,0
178.77,0
575.17,0
680.33,0
1209.48,0
1036.07,0
57.66,0
793.48,0
670.36,0
1695.04,0
1690.78,0
6503.45,0
431.14,0
62.37,0
86.11,0
156.84,0
1937.15,0
1022.92,0
389,0
1230.28,0
2388.39,0
476.81,0
443.01,0
617.08,0
1035.77,0
286.01,0
1741.77,0
1208.72,0
73.11,0
907.34,0
976.68,0
23.4,0
914,0
112.33,0
151.11,0
38.44,0
1291,0
524.78,0
3664.99,0
2734.32,0
1368.09,0
817.03,0
1051.16,0
116.65,0
1477.43,0
564.39,0
534.81,0
997.73,0
83.05,0
2057.77,0
589.72,0
1321.93,0
612.77,0
2581.23,0
499.32,0
2530.56,0
298.71,0
1518.12,0
1057.14,0
89.63,0
164.71,0
897.92,0
1644.12,0
373.84,0
1312.65,0
1709.36,0
72.12,0
639.32,0
124.41,0
5391.64,0
762.92,0
74.37,0
1176.34,0
260.92,1
2996.96,0
860.05,0
830.15,0
181.44,0
132.31,0
157.41,0
1673.62,0
461.11,0
1761.85,0
713.67,0
207.32,0
481.05,0
1697.01,0
98.6,0
5924.76,0
122.81,0
686,1
143.14,0
3752.17,0
127.71,0
856.86,0
536.68,0
974.26,0
1256.78,0
1538.54,0
696.71,0
571.2,0
1603.9,0
97.44,0
705.77,0
849.32,0
1314.89,0
110.11,0
463.45,0
3513,0
1569.25,0
635.89,0
734.76,0
818.48,0
1143.2,0
14171,0
1916.22,0
282,0
2977.94,0
198.64,0
559.32,0
426.48,0
114.42,0
876.27,0
395.48,0
231.99,0
49.66,0
1046.37,0
4510.08,0
771.24,0
367.29,0
1750.66,0
1724.56,0
69.2,0
836.16,0
1074.71,0
657.36,0
328.78,0
54.73,0
5048.98,0
2442.6,0
1016.58,0
683.75,0
2059.74,0
521.01,0
448.18,0
4350.42,0
87.11,0
63.17,0
3720.16,0
1363.45,0
3075.3,0
3478.48,0
1911.18,0
1135.12,0
1251.63,0
252.31,0
261.92,0
747.3,0
1291.22,0
322.04,0
318.77,0
112.01,0
265.64,0
287.84,0
110.47,0
83.11,0
59.54,1
379.96,0
1230.36,0
1524.09,0
187.06,0
596.96,0
1839.46,0
1524.15,0
1407.21,0
112.72,0
96.73,0
3086.19,0
259.41,0
787.06,0
4085.65,0
105.45,0
965.66,0
857.99,0
49.23,0
159.14,0
50.69,0
845.21,0
414.57,0
305.39,0
745.17,0
146.28,0
1654.63,0
167.11,0
2797.32,0
89.47,0
1400.41,0
3221,0
1131.91,0
206.11,0
136.65,0
791.07,0
686.13,0
940.06,0
411.33,0
760.74,0
92.1,0
918.31,0
1304.81,0
801.2,0
125.91,0
4925.96,1
240.22,0
432.96,0
1016.65,0
116.11,0
1629.06,0
99.32,0
4170.6,0
2179.17,0
2291.35,0
867.01,0
1078.93,0
189.81,0
66.11,0
414.03,0
1954.96,0
274,0
175.74,0
983.69,0
3434.27,0
56.54,0
181.04,0
795.92,0
196.28,0
182.11,0
497.42,0
5010.78,0
1144.26,0
596.82,0
1237.35,0
4670.72,0
754.01,0
536.43,0
1855.44,0
174.66,0
71.44,0
1268.54,0
884.06,0
288.83,0
2313.07,0
887.13,0
1143.09,0
3025.8,0
969.94,0
1890.34,0
1542.55,0
293.42,0
98.11,0
1740.89,0
1625.25,0
1870.83,0
863.57,0
574.79,0
696.56,0
872.77,1
267.54,0
3969.31,0
726.6,0
1295.44,0
692.84,0
38.27,0
38.27,0
1795.88,0
49.42,0
1253.6,0
80.11,0
3352.85,0
1013.86,0
1789.53,0
804.35,0
1265.21,0
754.61,0
2094.08,0
76.11,0
1433.86,0
927,0
1382.36,0
374.66,0
683.11,0
4044.5,1
141.43,0
3099.77,0
146.97,0
93.11,0
96.74,0
94.73,0
99.71,0
261.81,0
175.33,0
128.59,0
88.11,0
1209.98,0
2922.36,0
1450.79,0
947.91,0
173.61,0
140.77,0
6569.8,0
207.47,0
214.88,0
943.17,0
92.44,0
1359.89,0
4415.77,0
1582.35,0
229.65,0
369.96,0
50.78,0
1313,0
148.97,0
686.13,0
366.81,0
119.03,0
166.31,0
272.25,0
578.97,0
158.71,0
192.11,0
465.91,0
584.93,0
578.2,0
1692.61,0
551.52,0
380.92,0
819.55,0
1956.76,0
1987.48,0
1281.67,0
174.81,0
265.11,0
1551.57,0
101.61,0
801.97,0
1302.66,0
3642.61,0
4841.97,0
1665.62,0
493.02,0
721.33,0
134.88,0
2495.05,0
3698.41,0
44.26,0
66.11,0
66.36,0
56.36,0
1560.46,0
1130.84,0
1372.26,0
1694.72,0
876.41,0
2075.98,0
1321.33,0
1057.92,0
141.11,0
1096.34,0
103.32,0
621.96,0
470.09,0
1414.76,0
565.46,1
692.11,0
1011.59,0
723.82,0
109.52,0
75.11,0
1444.61,0
1446.66,0
7086.96,0
2658.17,0
10111.6,0
2688.96,0
865.96,0
993.66,0
710.46,0
7121.35,0
217.11,0
7504.14,0
1723.72,0
69.11,0
151.37,0
995.24,0
168.08,0
208.22,0
165.11,0
1059.16,0
780.51,0
1149.91,0
1473.28,0
750.21,0
2813.12,0
1175.64,0
826.28,0
1289.72,0
1583.37,1
887.38,0
2534.64,0
767.04,0
608.87,0
1388.18,0
1281.93,1
226.98,0
44.47,0
83.14,0
2669.77,0
859.49,0
314.62,0
602.92,0
1281.93,0
754.18,0
214.46,0
2505.42,0
5198.03,0
176.25,0
116.43,0
1391.91,0
2397.8,0
711.36,0
1182.06,0
1818.11,0
46.06,0
2194.01,0
1289.89,0
643.7,0
6128.76,0
122.14,0
889.42,0
407,0
1434.26,0
946.31,0
372.11,0
111.14,0
71,0
47.58,0
348.65,0
4523.05,0
116.03,0
380.12,0
3295.89,0
113.39,0
166.06,0
400.57,0
765.82,0
64.68,0
915.06,0
3750.59,0
735.97,0
1290.57,0
1547,0
139.81,0
132.72,0
1605.61,0
172.14,0
318.28,0
9059.62,0
1796.97,0
287.37,0
226.11,0
967.69,0
2355.04,0
832.96,0
339.01,0
3458.09,0
206.37,0
1281.93,0
541,0
481,0
6752.56,0
53.66,0
220.73,0
506.96,0
870.11,0
177.11,0
1044.71,0
1281.93,0
1259.35,0
766.95,0
1215.07,0
86.11,0
803.03,0
401.84,1
361,0
100.41,0
965.02,0
4412.29,0
1164,0
151.11,0
131.82,0
2662.46,0
492.11,0
5798.28,0
629.67,0
944.99,0
1189.24,0
1211.02,0
1988.5,0
2626.99,0
4373.7,0
1325.6,0
1417.08,0
378.14,0
2063.59,0
806.08,0
248.22,0
3798.12,0
1122.7,0
613.07,0
81.94,0
89.47,1
1235.16,0
90.76,0
1168.06,0
4763.35,0
1889.02,0
79.11,0
4486.76,0
4523.05,0
640.97,0
382.22,0
1281.93,0
985.27,0
999.26,0
640.97,0
4236.25,0
691.91,0
1438.37,0
957.73,0
5502.86,0
1440.88,0
1436.39,0
209.11,0
49.16,0
5581.63,0
23.45,0
222.24,0
2749.87,0
112.89,0
6656.41,0
245.52,0
2422.03,0
1922.9,0
640.97,0
640.97,0
1217.33,0
1020.56,0
367.01,0
587.13,0
829.88,0
1674.79,0
568.29,0
175.11,0
1902.31,0
279,0
2239.5,0
250.91,0
2383.18,0
2563.87,0
1281.93,0
3820.54,0
854.55,0
1993.94,0
1420.43,0
108.43,0
373.44,0
93.79,0
436.87,0
2422.03,0
814.15,0
205.18,0
202.11,0
776.5,0
590.82,0
911.96,0
774.47,0
1259.35,0
71.73,0
5021.2,0
2998,0
2664.48,0
976.19,0
357.21,0
839.6,0
109.6,0
1457.13,0
1645.52,0
640.97,0
1444.4,0
739.04,0
1242.36,0
64.54,0
711.36,0
64.54,0
94.66,0
169.32,0
1851.98,0
1025.77,0
204.96,0
2251.21,0
4843.4,1
66.36,0
414.11,0
548.91,0
49.23,0
2344,0
1922.9,0
8102,0
133,0
3938.31,0
142.11,0
6702.02,0
998.9,0
906.42,0
961.78,0
508.59,0
106.74,0
914,0
641.4,0
57.66,0
950.51,0
251.44,0
1484.1,0
1197.15,0
1476.25,0
2237.02,0
1811.95,0
69.2,0
836.6,0
1841.53,0
3312.72,0
3526.24,0
486.96,0
1286.41,0
234.83,0
152.22,0
1077.13,0
1720.94,0
777.71,0
1692.41,0
640.97,0
128.22,0
1281.93,0
855.43,0
172.49,0
2668.17,0
7484.15,0
1918.3,0
892.99,0
757.86,0
1088.64,0
1018.23,0
1171.66,0
477.11,0
1045.3,0
1735.28,0
1375.03,0
285.81,0
1089.68,0
2194.92,0
638.15,0
1287.59,0
865.68,0
2284.48,0
151.43,0
1984.09,0
1210.02,0
1313.64,0
798.91,0
890.03,0
123.31,0
231.32,0
1277.17,0
83.23,0
525.41,0
1057.92,0
2328.85,0
2367.95,0
164.28,0
70.6,0
1640.09,0
2688.96,0
956.92,0
1570.25,0
1441.25,0
214.81,0
1281.93,0
10047.2,0
2340.24,0
143.81,0
3388.93,0
221.54,0
307.24,0
222.06,0
1241.25,0
799.27,0
106.39,0
1801.05,0
195.33,0
500.43,0
620.9,0
3008.08,0
640.97,0
923.35,0
485.5,0
4136.96,0
943.41,0
148.77,0
339.54,0
866.13,0
3459.05,0
740.1,0
1156.96,0
64,0
2993.4,0
2231.46,0
64.61,0
118.1,0
712.48,0
88.53,0
195.77,0
692.84,1
79.11,0
334.62,0
951.48,0
684.13,0
1653.1,0
3411.92,0
2403.43,0
284.14,0
349.96,0
1018.78,0
610.49,0
90.11,0
107.81,0
73,0
1811.72,0
132.11,0
2658.04,0
114.96,0
1281.93,0
1133.2,0
126.11,0
1050.28,0
568.29,0
3265.61,0
1215.33,0
196.22,0
577.71,0
1103.24,0
217.81,0
208,0
296.88,0
569.96,0
135.07,0
106.11,0
412,0
277.26,0
1159,0
121.43,0
825,0
4516.06,0
805.69,0
1424.96,0
333.71,0
150.11,1
104.44,0
158.23,0
510.04,0
271.62,0
165.81,0
701.56,0
942.96,0
82.88,0
3462.99,0
182.54,0
1965.1,0
270.28,0
1410.58,0
53.33,0
2094.1,0
1508.14,0
300.81,0
83.23,0
904.76,0
29.17,0
886.58,0
1010.25,0
67.88,0
1878.09,0
207.81,0
89.71,0
652.96,0
109.12,0
987.21,0
1629.1,0
1141.69,0
168.34,0
320.11,0
178.22,0
220.44,0
2298.21,0
822.57,0
86.11,0
135.32,0
715.81,0
102,0
98.22,0
120.71,0
700.23,0
686.13,0
126,0
238.42,0
2012.43,0
3711.26,0
1069.37,0
96.06,0
2445.76,0
107.31,0
782.31,0
91.54,0
142.07,0
2653.55,0
93.43,0
4024.52,0
1257.18,0
927.46,0
1095.78,0
1272.47,0
166.43,0
1379.12,0
4532.16,0
2492.95,0
633.83,0
2757.47,0
414.81,1
642.14,0
1032.93,0
317.92,0
924.58,0
1691.49,0
568.29,0
163.15,0
2242.31,0
911.46,0
686.13,0
52.58,0
160.41,0
99.32,0
2395.13,0
3601.48,0
322.81,0
117.35,0
923.24,0
1300.22,0
1456.15,0
438.09,0
3866.12,0
1081.12,0
4613.38,0
1825.91,0
1376.62,0
140.11,0
57.31,0
66.68,0
126.37,0
640.97,0
797.71,0
1699.66,0
71.05,0
1259.35,0
730.92,0
798.21,1
102.11,0
640.97,0
745.72,0
56.36,0
165.11,0
651.5,0
1600.88,0
3573,0
456.8,0
6120.74,0
123.37,0
432.96,0
121.32,0
55.1,0
764.5,0
1010.84,0
119.71,0
746.33,0
3475.53,0
107.66,0
834.84,0
1456.15,0
854.24,0
105.11,0
5279.74,0
152.22,0
3682.07,0
175,0
4966.12,0
595.81,0
579.42,0
77.19,0
228.22,0
714.45,0
177.41,0
128.77,0
122.32,0
80.11,0
4182.04,0
887.45,0
584.93,0
379.96,0
968.6,0
187.67,0
552.89,0
1316.06,0
114.71,0
376,0
135.71,0
2802,0
313.45,0
272.44,1
2697.96,0
878.05,0
135.04,0
325.24,0
137.99,0
583.25,0
1978.26,0
2148.04,0
1101.01,0
2338.47,0
135.69,0
2322.46,0
853.46,0
608.22,0
1620.59,0
4468.79,0
965.65,0
174.28,0
1684.84,0
376.82,0
2195.9,0
1820.53,0
188.94,0
53.67,0
151.67,0
117.11,0
406.21,0
115.91,0
636.1,0
1839.35,0
740.35,0
1934.28,0
1013.31,0
843.62,0
630.81,0
5432.96,0
1642.85,0
1420.52,0
3896.54,0
1389.75,0
3883.13,0
1224.41,0
117.42,0
1045.3,0
2164.44,0
861.76,0
1864.62,0
1308.15,0
1762.86,0
2519.19,0
306.77,0
489.56,0
3935.12,0
881.45,0
780.84,0
278.84,0
108.84,0
894.29,0
139.42,0
1811.95,0
214.88,0
440.36,0
769.81,0
2116.65,0
140.24,0
700.15,0
1559.54,0
5392.72,0
198.68,0
